type,selected_severity,description,location,target_severity,model_text
SAFETY,LOW,יש סכנת התחשמלות זה קורה כבר כמה פעמים,בלובי,HIGH,type_SAFETY selected_LOW location_בלובי יש סכנת התחשמלות זה קורה כבר כמה פעמים
NOISE,HIGH,מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,HIGH,type_NOISE selected_HIGH location_בחדר מדרגות מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,LOW,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,,HIGH,type_NOISE selected_LOW location_ רעש חריג מאוד באמצע הלילה עם צעקות חזקות
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד זה קורה כבר כמה פעמים,בלובי,HIGH,type_CLEANLINESS selected_HIGH location_בלובי ביוב עולה ויש ריח חריף מאוד זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה הדיירים התלוננו על זה,בחדר אשפה,LOW,type_CLEANLINESS selected_LOW location_בחדר אשפה יש מעט אבק ליד הכניסה הדיירים התלוננו על זה
SAFETY,MEDIUM,זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים,בכניסה לבניין,HIGH,type_SAFETY selected_MEDIUM location_בכניסה לבניין זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים
OTHER,LOW,בעיה שחוזרת כמה פעמים ודורשת טיפול,בגינה,MEDIUM,type_OTHER selected_LOW location_בגינה בעיה שחוזרת כמה פעמים ודורשת טיפול
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים,בכניסה לבניין,HIGH,type_CLEANLINESS selected_HIGH location_בכניסה לבניין הצפה בחדר מדרגות ומים זורמים
OTHER,LOW,אירוע חריג שמצריך תגובה מיידית זה קורה כבר כמה פעמים,,HIGH,type_OTHER selected_LOW location_ אירוע חריג שמצריך תגובה מיידית זה קורה כבר כמה פעמים
SAFETY,LOW,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בכניסה לבניין,MEDIUM,type_SAFETY selected_LOW location_בכניסה לבניין תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
SAFETY,MEDIUM,מרצפת מעט עקומה ללא סכנה מיידית,בחדר אשפה,LOW,type_SAFETY selected_MEDIUM location_בחדר אשפה מרצפת מעט עקומה ללא סכנה מיידית
OTHER,LOW,בקשה כללית לבדיקה כשאפשר,בחניה,LOW,type_OTHER selected_LOW location_בחניה בקשה כללית לבדיקה כשאפשר
SAFETY,LOW,תאורה חלשה באזור הכניסה,בקומה 1,LOW,type_SAFETY selected_LOW location_בקומה 1 תאורה חלשה באזור הכניסה
SAFETY,MEDIUM,יש סכנת התחשמלות,בכניסה לבניין,HIGH,type_SAFETY selected_MEDIUM location_בכניסה לבניין יש סכנת התחשמלות
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,,HIGH,type_SAFETY selected_HIGH location_ יש ריח שרוף ליד ארון החשמל
SAFETY,HIGH,ריח גז חזק בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 5,HIGH,type_SAFETY selected_HIGH location_בקומה 5 ריח גז חזק בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,LOW,דיווח כללי ללא סכנה נא לטפל בהקדם,בחדר מדרגות,LOW,type_OTHER selected_LOW location_בחדר מדרגות דיווח כללי ללא סכנה נא לטפל בהקדם
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי יש ניצוצות מארון החשמל בלובי
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית נדרש טיפול של ועד הבית בזמן הקרוב זה קורה כבר כמה פעמים
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה יש ריח שרוף ליד ארון החשמל
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,בחדר מדרגות,HIGH,type_OTHER selected_HIGH location_בחדר מדרגות מצב מסוכן שמצריך טיפול בהול
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים נא לטפל בהקדם הדיירים התלוננו על זה,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן מעלית תקועה עם אנשים בפנים נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,LOW,נזילה קטנה שגרמה לרטיבות בקיר,במחסן,MEDIUM,type_CLEANLINESS selected_LOW location_במחסן נזילה קטנה שגרמה לרטיבות בקיר
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים,ליד ארון החשמל,MEDIUM,type_SAFETY selected_MEDIUM location_ליד ארון החשמל תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים
SAFETY,HIGH,מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 1,MEDIUM,type_SAFETY selected_HIGH location_בקומה 1 מעקה רופף שצריך תיקון בהקדם זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,HIGH,מטרד רעש קיצוני ומתמשך נא לטפל בהקדם,בכניסה לבניין,HIGH,type_NOISE selected_HIGH location_בכניסה לבניין מטרד רעש קיצוני ומתמשך נא לטפל בהקדם
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים,בחדר מדרגות,HIGH,type_OTHER selected_HIGH location_בחדר מדרגות אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים הדיירים התלוננו על זה,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה רעש חזק בלילה שמפריע לדיירים הדיירים התלוננו על זה
NOISE,MEDIUM,מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 1,HIGH,type_NOISE selected_MEDIUM location_בקומה 1 מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים הדיירים התלוננו על זה
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף נא לטפל בהקדם,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה פח קטן לא רוקן אבל לא דחוף נא לטפל בהקדם
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה יש ניצוצות מארון החשמל בלובי
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה,בקומה 1,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 1 מרצפת שבורה שעלולה לגרום לנפילה
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם,,MEDIUM,type_SAFETY selected_MEDIUM location_ מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם
SAFETY,LOW,דלת המחסן לא נסגרת טוב,,LOW,type_SAFETY selected_LOW location_ דלת המחסן לא נסגרת טוב
CLEANLINESS,LOW,ביוב עולה ויש ריח חריף מאוד נא לטפל בהקדם,בקומה 5,HIGH,type_CLEANLINESS selected_LOW location_בקומה 5 ביוב עולה ויש ריח חריף מאוד נא לטפל בהקדם
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה מעלית תקועה עם אנשים בפנים
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות נא לטפל בהקדם,,MEDIUM,type_NOISE selected_MEDIUM location_ שיפוצים מרעישים בשעות לא מתאימות נא לטפל בהקדם
NOISE,LOW,מטרד רעש קיצוני ומתמשך הדיירים התלוננו על זה,בלובי,HIGH,type_NOISE selected_LOW location_בלובי מטרד רעש קיצוני ומתמשך הדיירים התלוננו על זה
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות,בכניסה לבניין,LOW,type_CLEANLINESS selected_LOW location_בכניסה לבניין צריך ניקיון רגיל בחדר מדרגות
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים,בקומה 5,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בקומה 5 שקיות זבל נשארו ליד הכניסה זה קורה כבר כמה פעמים
NOISE,LOW,רעש קל מהחצר בשעות היום הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_NOISE selected_LOW location_בחדר מדרגות רעש קל מהחצר בשעות היום הדיירים התלוננו על זה
NOISE,LOW,רעש קל מהחצר בשעות היום זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_NOISE selected_LOW location_ליד המעלית רעש קל מהחצר בשעות היום זה קורה כבר כמה פעמים
OTHER,MEDIUM,יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 2,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 2 יש בעיה מתמשכת בבניין זה קורה כבר כמה פעמים הדיירים התלוננו על זה
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,ליד המעלית,HIGH,type_NOISE selected_HIGH location_ליד המעלית רעש חריג מאוד באמצע הלילה עם צעקות חזקות
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם הדיירים התלוננו על זה,בלובי,HIGH,type_OTHER selected_HIGH location_בלובי אירוע חריג שמצריך תגובה מיידית נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים,,MEDIUM,type_SAFETY selected_MEDIUM location_ תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה זה קורה כבר כמה פעמים
NOISE,LOW,מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים,בחדר אשפה,HIGH,type_NOISE selected_LOW location_בחדר אשפה מטרד רעש קיצוני ומתמשך זה קורה כבר כמה פעמים
OTHER,LOW,צריך לבדוק משהו לא דחוף נא לטפל בהקדם,,LOW,type_OTHER selected_LOW location_ צריך לבדוק משהו לא דחוף נא לטפל בהקדם
NOISE,MEDIUM,רעש קל מהחצר בשעות היום,בלובי,LOW,type_NOISE selected_MEDIUM location_בלובי רעש קל מהחצר בשעות היום
OTHER,LOW,דיווח כללי ללא סכנה,ליד ארון החשמל,LOW,type_OTHER selected_LOW location_ליד ארון החשמל דיווח כללי ללא סכנה
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 דלת כניסה לא נסגרת ויש חשש ביטחוני
NOISE,HIGH,צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_NOISE selected_HIGH location_בגינה צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,בקומה 1,HIGH,type_OTHER selected_HIGH location_בקומה 1 מצב מסוכן שמצריך טיפול בהול
OTHER,HIGH,דיווח כללי ללא סכנה,בחניה,LOW,type_OTHER selected_HIGH location_בחניה דיווח כללי ללא סכנה
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם הדיירים התלוננו על זה,,HIGH,type_NOISE selected_HIGH location_ רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות נא לטפל בהקדם הדיירים התלוננו על זה
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך,בחניה,LOW,type_OTHER selected_LOW location_בחניה יש בעיה קטנה שאפשר לטפל בה בהמשך
NOISE,LOW,רעש קל מהחצר בשעות היום,ליד המעלית,LOW,type_NOISE selected_LOW location_ליד המעלית רעש קל מהחצר בשעות היום
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין חוטי חשמל חשופים ליד הכניסה
NOISE,LOW,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות,בקומה 5,HIGH,type_NOISE selected_LOW location_בקומה 5 רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות
SAFETY,LOW,תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים,במחסן,LOW,type_SAFETY selected_LOW location_במחסן תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית,ליד ארון החשמל,HIGH,type_CLEANLINESS selected_HIGH location_ליד ארון החשמל לכלוך חמור שעלול לגרום לסכנה בריאותית
SAFETY,HIGH,שריפה קטנה בלובי,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה שריפה קטנה בלובי
OTHER,LOW,בקשה כללית לבדיקה כשאפשר,במחסן,LOW,type_OTHER selected_LOW location_במחסן בקשה כללית לבדיקה כשאפשר
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית,במחסן,LOW,type_SAFETY selected_LOW location_במחסן מרצפת מעט עקומה ללא סכנה מיידית
OTHER,HIGH,בעיה חמורה שמסכנת דיירים נא לטפל בהקדם,בכניסה לבניין,HIGH,type_OTHER selected_HIGH location_בכניסה לבניין בעיה חמורה שמסכנת דיירים נא לטפל בהקדם
SAFETY,HIGH,מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין מעלית תקועה עם אנשים בפנים זה קורה כבר כמה פעמים
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם,ליד ארון החשמל,HIGH,type_NOISE selected_HIGH location_ליד ארון החשמל רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם
SAFETY,LOW,דלת המחסן לא נסגרת טוב,בכניסה לבניין,LOW,type_SAFETY selected_LOW location_בכניסה לבניין דלת המחסן לא נסגרת טוב
NOISE,HIGH,מוזיקה חזקה מהדירה מעל כבר כמה שעות,ליד המעלית,MEDIUM,type_NOISE selected_HIGH location_ליד המעלית מוזיקה חזקה מהדירה מעל כבר כמה שעות
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום,בחניה,LOW,type_NOISE selected_LOW location_בחניה שומעים מעט רעש מהשכנים במהלך היום
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול נא לטפל בהקדם,בחדר אשפה,HIGH,type_OTHER selected_HIGH location_בחדר אשפה מצב מסוכן שמצריך טיפול בהול נא לטפל בהקדם
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית דלת כניסה לא נסגרת ויש חשש ביטחוני הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים,ליד המעלית,MEDIUM,type_SAFETY selected_MEDIUM location_ליד המעלית יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים,ליד המעלית,LOW,type_CLEANLINESS selected_LOW location_ליד המעלית יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים
NOISE,MEDIUM,רעש חירום חזק מהחניה בשעות הלילה,ליד ארון החשמל,HIGH,type_NOISE selected_MEDIUM location_ליד ארון החשמל רעש חירום חזק מהחניה בשעות הלילה
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה,,HIGH,type_NOISE selected_HIGH location_ קולות חזקים של שבירה ואלימות מהדירה
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית תקלה לא מסוכנת אבל מפריעה לדיירים
SAFETY,MEDIUM,חוטי חשמל חשופים ליד הכניסה,בקומה 5,HIGH,type_SAFETY selected_MEDIUM location_בקומה 5 חוטי חשמל חשופים ליד הכניסה
OTHER,HIGH,בעיה חמורה שמסכנת דיירים,בלובי,HIGH,type_OTHER selected_HIGH location_בלובי בעיה חמורה שמסכנת דיירים
SAFETY,HIGH,יש ריח שרוף ליד ארון החשמל,בקומה 2,HIGH,type_SAFETY selected_HIGH location_בקומה 2 יש ריח שרוף ליד ארון החשמל
OTHER,LOW,דיווח כללי ללא סכנה נא לטפל בהקדם,,LOW,type_OTHER selected_LOW location_ דיווח כללי ללא סכנה נא לטפל בהקדם
SAFETY,MEDIUM,יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 יש ונדליזם ליד המעלית זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_SAFETY selected_MEDIUM location_בחדר אשפה דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים
SAFETY,LOW,תאורה חלשה באזור הכניסה הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_SAFETY selected_LOW location_בחדר מדרגות תאורה חלשה באזור הכניסה הדיירים התלוננו על זה
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,בחדר אשפה,HIGH,type_NOISE selected_HIGH location_בחדר אשפה רעש חריג מאוד באמצע הלילה עם צעקות חזקות
CLEANLINESS,LOW,ביוב עולה ויש ריח חריף מאוד,בחדר אשפה,HIGH,type_CLEANLINESS selected_LOW location_בחדר אשפה ביוב עולה ויש ריח חריף מאוד
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד,ליד המעלית,HIGH,type_CLEANLINESS selected_HIGH location_ליד המעלית ביוב עולה ויש ריח חריף מאוד
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות,בקומה 5,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 5 צעקות ורעש בחדר מדרגות
OTHER,MEDIUM,אירוע חריג שמצריך תגובה מיידית,בקומה 2,HIGH,type_OTHER selected_MEDIUM location_בקומה 2 אירוע חריג שמצריך תגובה מיידית
NOISE,LOW,רעש קל מהחצר בשעות היום הדיירים התלוננו על זה,בגינה,LOW,type_NOISE selected_LOW location_בגינה רעש קל מהחצר בשעות היום הדיירים התלוננו על זה
OTHER,LOW,יש בעיה קטנה שאפשר לטפל בה בהמשך הדיירים התלוננו על זה,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה יש בעיה קטנה שאפשר לטפל בה בהמשך הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ריח שרוף ליד ארון החשמל,בלובי,HIGH,type_SAFETY selected_MEDIUM location_בלובי יש ריח שרוף ליד ארון החשמל
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית,ליד המעלית,HIGH,type_OTHER selected_HIGH location_ליד המעלית אירוע חריג שמצריך תגובה מיידית
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים נא לטפל בהקדם,בכניסה לבניין,HIGH,type_CLEANLINESS selected_HIGH location_בכניסה לבניין לכלוך חמור שעלול לגרום לסכנה בריאותית זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית,בקומה 2,HIGH,type_CLEANLINESS selected_HIGH location_בקומה 2 לכלוך חמור שעלול לגרום לסכנה בריאותית
OTHER,HIGH,תקלה דחופה מאוד בבניין,בקומה 5,HIGH,type_OTHER selected_HIGH location_בקומה 5 תקלה דחופה מאוד בבניין
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם,בחניה,HIGH,type_NOISE selected_HIGH location_בחניה רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף,במחסן,LOW,type_NOISE selected_LOW location_במחסן יש רעש חלש מדי פעם אבל לא דחוף
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה פח קטן לא רוקן אבל לא דחוף
CLEANLINESS,HIGH,פח קטן לא רוקן אבל לא דחוף,בחדר אשפה,LOW,type_CLEANLINESS selected_HIGH location_בחדר אשפה פח קטן לא רוקן אבל לא דחוף
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות,ליד המעלית,MEDIUM,type_NOISE selected_MEDIUM location_ליד המעלית צעקות ורעש בחדר מדרגות
OTHER,LOW,יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם,בלובי,LOW,type_OTHER selected_LOW location_בלובי יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם
CLEANLINESS,HIGH,הצפה בחדר מדרגות ומים זורמים,,HIGH,type_CLEANLINESS selected_HIGH location_ הצפה בחדר מדרגות ומים זורמים
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
NOISE,LOW,שיפוצים מרעישים בשעות לא מתאימות,ליד ארון החשמל,MEDIUM,type_NOISE selected_LOW location_ליד ארון החשמל שיפוצים מרעישים בשעות לא מתאימות
CLEANLINESS,HIGH,פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים,,LOW,type_CLEANLINESS selected_HIGH location_ פח קטן לא רוקן אבל לא דחוף זה קורה כבר כמה פעמים
OTHER,HIGH,תקלה דחופה מאוד בבניין,,HIGH,type_OTHER selected_HIGH location_ תקלה דחופה מאוד בבניין
SAFETY,LOW,דלת המחסן לא נסגרת טוב נא לטפל בהקדם הדיירים התלוננו על זה,בכניסה לבניין,LOW,type_SAFETY selected_LOW location_בכניסה לבניין דלת המחסן לא נסגרת טוב נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה נא לטפל בהקדם הדיירים התלוננו על זה,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה יש מעט אבק ליד הכניסה נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה,בחניה,HIGH,type_CLEANLINESS selected_HIGH location_בחניה נזילה חזקה שגורמת להצפה
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם
OTHER,MEDIUM,מצב מסוכן שמצריך טיפול בהול הדיירים התלוננו על זה,בגינה,HIGH,type_OTHER selected_MEDIUM location_בגינה מצב מסוכן שמצריך טיפול בהול הדיירים התלוננו על זה
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בקומה 5,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 5 תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
OTHER,MEDIUM,יש בעיה מתמשכת בבניין,,MEDIUM,type_OTHER selected_MEDIUM location_ יש בעיה מתמשכת בבניין
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,במחסן,MEDIUM,type_OTHER selected_MEDIUM location_במחסן תקלה לא מסוכנת אבל מפריעה לדיירים
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים נא לטפל בהקדם,בקומה 1,HIGH,type_NOISE selected_HIGH location_בקומה 1 רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,LOW,יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה,בחניה,MEDIUM,type_CLEANLINESS selected_LOW location_בחניה יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה
SAFETY,LOW,יש בורג חסר בשלט של הבניין,בקומה 2,LOW,type_SAFETY selected_LOW location_בקומה 2 יש בורג חסר בשלט של הבניין
SAFETY,MEDIUM,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בקומה 2,MEDIUM,type_SAFETY selected_MEDIUM location_בקומה 2 תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות,בכניסה לבניין,MEDIUM,type_NOISE selected_MEDIUM location_בכניסה לבניין שיפוצים מרעישים בשעות לא מתאימות
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית נדרש טיפול של ועד הבית בזמן הקרוב הדיירים התלוננו על זה
OTHER,HIGH,מצב מסוכן שמצריך טיפול בהול,ליד המעלית,HIGH,type_OTHER selected_HIGH location_ליד המעלית מצב מסוכן שמצריך טיפול בהול
SAFETY,HIGH,קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה קיר או תקרה נראים לפני קריסה זה קורה כבר כמה פעמים
NOISE,LOW,רעש חזק בלילה שמפריע לדיירים זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_NOISE selected_LOW location_בחדר אשפה רעש חזק בלילה שמפריע לדיירים זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים,בחניה,MEDIUM,type_CLEANLINESS selected_HIGH location_בחניה לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום,בלובי,LOW,type_NOISE selected_LOW location_בלובי שומעים מעט רעש מהשכנים במהלך היום
SAFETY,LOW,דלת המחסן לא נסגרת טוב,בחדר אשפה,LOW,type_SAFETY selected_LOW location_בחדר אשפה דלת המחסן לא נסגרת טוב
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים,בקומה 1,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 1 תקלה שמשפיעה על כמה דיירים
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית,,HIGH,type_OTHER selected_HIGH location_ אירוע חריג שמצריך תגובה מיידית
SAFETY,MEDIUM,דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים,בגינה,MEDIUM,type_SAFETY selected_MEDIUM location_בגינה דלת כניסה לא נסגרת ויש חשש ביטחוני זה קורה כבר כמה פעמים
SAFETY,MEDIUM,קיר או תקרה נראים לפני קריסה נא לטפל בהקדם,בלובי,HIGH,type_SAFETY selected_MEDIUM location_בלובי קיר או תקרה נראים לפני קריסה נא לטפל בהקדם
